Datum,Zeitpunkt,Leitfähigkeit,Temperatur,pH,Redox,
[dd:mm:yyy],[hh:mm:ss],[mS/cm],[°C],,mV,
03/04/21,11:19:05,79.6,41.6,12.979,-69.6,-2754
03/04/21,11:19:34,79.6,41.6,12.974,-72.1,-2753
03/04/21,11:20:06,79.3,41.6,12.97,-71.6,-2752
03/04/21,11:20:37,79.1,41.6,12.965,-71.8,-2751
03/04/21,11:21:10,79,41.7,12.962,-68.9,-2750
03/04/21,11:21:37,78.8,41.7,12.959,-71.1,-2749
03/04/21,11:22:10,78.7,41.7,12.956,-71.9,-2748
03/04/21,11:22:37,78.6,41.8,12.952,-72.4,-2747
03/04/21,11:23:25,78.4,41.9,12.945,-68.7,-2746
03/04/21,11:23:38,78.3,42,12.943,-68,-2745
03/04/21,11:24:25,78.1,42.1,12.937,-70.2,-2744
03/04/21,11:24:38,78.1,42.1,12.934,-67.1,-2743
03/04/21,11:25:08,77.9,42.2,12.93,-68.7,-2742
03/04/21,11:25:38,77.8,42.3,12.927,-70.3,-2741
03/04/21,11:26:16,77.6,42.4,12.922,-69.8,-2740
03/04/21,11:26:38,77.5,42.5,12.919,-69.9,-2739
03/04/21,11:27:10,77.3,42.6,12.911,-67.8,-2738
03/04/21,11:27:38,77.1,42.8,12.906,-69.3,-2737
03/04/21,11:28:16,76.9,42.9,12.903,-65.6,-2736
03/04/21,11:28:39,76.8,43.1,12.897,-68.8,-2735
03/04/21,11:29:10,76.6,43.2,12.893,-68.5,-2734
03/04/21,11:29:41,76.4,43.4,12.887,-67.7,-2733
03/04/21,11:30:12,76.3,43.5,12.884,-66.9,-2732
03/04/21,11:30:52,76.1,43.7,12.876,-65,-2731
03/04/21,11:31:14,75.9,43.9,12.875,-65.3,-2730
03/04/21,11:31:43,75.8,44,12.869,-63.8,-2729
03/04/21,11:32:16,75.6,44.2,12.866,-66,-2728
03/04/21,11:32:43,75.4,44.4,12.861,-67.5,-2727
03/04/21,11:33:14,75.2,44.5,12.858,-63.8,-2726
03/04/21,11:33:53,75.1,44.7,12.852,-62.3,-2725
03/04/21,11:34:14,74.9,44.9,12.85,-65.9,-2724
03/04/21,11:34:50,74.7,45,12.846,-63.4,-2723
03/04/21,11:35:16,74.6,45.2,12.842,-66.3,-2722
03/04/21,11:35:47,74.4,45.3,12.839,-61,-2721
03/04/21,11:36:14,74.3,45.5,12.837,-66.2,-2720
03/04/21,11:37:04,74.1,45.8,12.833,-65,-2719
03/04/21,11:37:14,74,45.8,12.832,-65.8,-2718
03/04/21,11:37:52,73.8,46,12.829,-64.5,-2717
03/04/21,11:38:24,73.7,46.1,12.828,-65.7,-2716
03/04/21,11:39:04,73.5,46.4,12.824,-62.9,-2715
03/04/21,11:39:14,73.4,46.4,12.823,-63.3,-2714
03/04/21,11:39:55,73.2,46.6,12.822,-64.7,-2713
03/04/21,11:40:17,73.1,46.7,12.821,-64.7,-2712
03/04/21,11:40:58,72.9,46.9,12.819,-63.8,-2711
03/04/21,11:41:14,72.8,47,12.818,-62.9,-2710
03/04/21,11:42:08,72.5,47.2,12.817,-64.3,-2709
03/04/21,11:42:14,72.6,47.3,12.817,-65.4,-2708
03/04/21,11:42:50,72.4,47.4,12.815,-63.4,-2707
03/04/21,11:43:17,72.2,47.5,12.816,-65.6,-2706
03/04/21,11:43:50,72.1,47.7,12.814,-65.3,-2705
03/04/21,11:44:24,71.9,47.9,12.812,-64.7,-2704
03/04/21,11:44:59,71.8,48,12.81,-62.6,-2703
03/04/21,11:45:20,71.7,48,12.81,-63.4,-2702
03/04/21,11:45:50,71.6,48.2,12.808,-61.3,-2701
03/04/21,11:46:19,71.4,48.3,12.807,-64.1,-2700
03/04/21,11:46:49,71.3,48.4,12.807,-63.6,-2699
03/04/21,11:47:19,71.2,48.5,12.806,-65.3,-2698
03/04/21,11:47:49,71,48.7,12.804,-62.2,-2697
03/04/21,11:48:19,70.9,48.8,12.804,-64.7,-2696
03/04/21,11:48:55,70.8,49,12.802,-63,-2695
03/04/21,11:49:20,70.7,49.1,12.801,-59.5,-2694
03/04/21,11:49:49,70.6,49.1,12.801,-62.3,-2693
03/04/21,11:50:21,70.4,49.3,12.798,-63.4,-2692
03/04/21,11:51:05,70.3,49.4,12.795,-60.7,-2691
03/04/21,11:51:36,70.2,49.6,12.794,-62.9,-2690
03/04/21,11:51:51,70.2,49.6,12.792,-58.5,-2689
03/04/21,11:52:21,70.1,49.7,12.791,-58.8,-2688
03/04/21,11:52:54,70,49.8,12.789,-62.7,-2687
03/04/21,11:53:36,69.8,50,12.787,-61.5,-2686
03/04/21,11:53:54,69.8,50,12.788,-59.8,-2685
03/04/21,11:54:47,69.7,50.2,12.782,-61.2,-2684
03/04/21,11:54:56,69.7,50.3,12.782,-61.8,-2683
03/04/21,11:55:52,69.4,50.4,12.774,-62,-2682
03/04/21,11:55:54,69.4,50.4,12.774,-61.8,-2681
03/04/21,11:56:29,69.3,50.6,12.771,-57.9,-2680
03/04/21,11:56:54,69.3,50.6,12.77,-58.9,-2679
03/04/21,11:57:34,69.1,50.8,12.768,-59.4,-2678
03/04/21,11:57:55,69.1,50.8,12.766,-59.8,-2677
03/04/21,11:58:26,69,51,12.761,-59.7,-2676
03/04/21,11:58:59,68.9,51,12.756,-59.1,-2675
03/04/21,11:59:47,68.8,51.2,12.751,-59.6,-2674
03/04/21,11:59:56,68.8,51.2,12.75,-60.2,-2673
03/04/21,12:00:35,68.6,51.3,12.748,-59.8,-2672
03/04/21,12:00:57,68.7,51.4,12.745,-59.8,-2671
03/04/21,12:01:36,68.6,51.5,12.74,-59.1,-2670
03/04/21,12:01:59,68.4,51.6,12.736,-61.4,-2669
03/04/21,12:02:31,68.4,51.6,12.731,-60.4,-2668
03/04/21,12:02:59,68.3,51.7,12.729,-59.6,-2667
03/04/21,12:03:29,68.1,51.8,12.728,-60.4,-2666
03/04/21,12:04:06,68.1,51.9,12.723,-60.3,-2665
03/04/21,12:04:30,68,52,12.72,-59.8,-2664
03/04/21,12:05:00,67.9,52,12.716,-59.5,-2663
03/04/21,12:05:30,67.8,52.2,12.71,-59.6,-2662
03/04/21,12:06:22,67.7,52.3,12.706,-54.9,-2661
03/04/21,12:06:30,67.7,52.4,12.703,-56.8,-2660
03/04/21,12:07:01,67.7,52.4,12.704,-57.3,-2659
03/04/21,12:07:46,67.5,52.5,12.697,-59.2,-2658
03/04/21,12:08:02,67.5,52.5,12.694,-59.9,-2657
03/04/21,12:08:44,67.3,52.7,12.688,-59.2,-2656
03/04/21,12:09:02,67.3,52.7,12.686,-59.2,-2655
03/04/21,12:09:37,67.2,52.8,12.684,-58.2,-2654
03/04/21,12:10:02,67.2,52.8,12.681,-58.2,-2653
03/04/21,12:10:34,67.1,52.9,12.675,-59.6,-2652
03/04/21,12:11:03,67,53,12.677,-58.5,-2651
03/04/21,12:11:40,66.9,53,12.67,-57.8,-2650
03/04/21,12:12:04,66.9,53.1,12.667,-57.4,-2649
03/04/21,12:12:40,66.9,53.2,12.666,-58.3,-2648
03/04/21,12:13:04,66.8,53.2,12.664,-56.3,-2647
03/04/21,12:13:41,66.7,53.3,12.66,-57.6,-2646
03/04/21,12:14:10,66.6,53.4,12.657,-57.1,-2645
03/04/21,12:14:39,66.5,53.5,12.651,-57.1,-2644
03/04/21,12:15:15,66.5,53.5,12.652,-58.2,-2643
03/04/21,12:15:43,66.4,53.6,12.647,-57.5,-2642
03/04/21,12:16:06,66.3,53.7,12.643,-57.9,-2641
03/04/21,12:16:39,66.2,53.7,12.643,-56.7,-2640
03/04/21,12:17:06,66.2,53.8,12.639,-57.1,-2639
03/04/21,12:17:42,66.1,53.8,12.637,-58,-2638
03/04/21,12:18:16,66,53.9,12.635,-53.6,-2637
03/04/21,12:18:49,66,54,12.631,-57.4,-2636
03/04/21,12:19:15,65.9,54.1,12.628,-54.9,-2635
03/04/21,12:19:38,65.9,54.1,12.625,-56.7,-2634
03/04/21,12:20:15,65.8,54.1,12.624,-53.8,-2633
03/04/21,12:20:38,65.8,54.2,12.622,-56,-2632
03/04/21,12:21:08,65.7,54.2,12.618,-53.4,-2631
03/04/21,12:21:39,65.6,54.3,12.614,-56.4,-2630
03/04/21,12:22:16,65.6,54.3,12.613,-55.4,-2629
03/04/21,12:22:47,65.5,54.4,12.61,-55.8,-2628
03/04/21,12:23:10,65.4,54.4,12.61,-55.5,-2627
03/04/21,12:23:41,65.4,54.5,12.606,-54.8,-2626
03/04/21,12:24:16,65.3,54.5,12.6,-55.6,-2625
03/04/21,12:24:41,65.3,54.6,12.603,-56.5,-2624
03/04/21,12:25:13,65.2,54.6,12.599,-54.8,-2623
03/04/21,12:25:41,65.2,54.7,12.597,-55.6,-2622
03/04/21,12:26:15,65.1,54.7,12.597,-54.1,-2621
03/04/21,12:26:41,65,54.8,12.593,-56.5,-2620
03/04/21,12:27:17,65,54.9,12.59,-55.8,-2619
03/04/21,12:27:41,65,54.9,12.591,-56.2,-2618
03/04/21,12:28:13,64.9,54.9,12.591,-54.7,-2617
03/04/21,12:28:49,64.9,55,12.586,-53.6,-2616
03/04/21,12:29:11,64.8,55,12.588,-54.3,-2615
03/04/21,12:29:41,64.7,55.1,12.584,-54.6,-2614
03/04/21,12:30:11,64.7,55.1,12.584,-55.7,-2613
03/04/21,12:30:41,64.6,55.2,12.583,-52.8,-2612
03/04/21,12:31:12,64.6,55.2,12.577,-55,-2611
03/04/21,12:31:42,64.6,55.3,12.579,-53.6,-2610
03/04/21,12:32:13,64.5,55.3,12.579,-53.9,-2609
03/04/21,12:32:44,64.5,55.3,12.576,-54.6,-2608
03/04/21,12:33:16,64.4,55.4,12.572,-54.3,-2607
03/04/21,12:33:43,64.3,55.4,12.573,-55.5,-2606
03/04/21,12:34:22,64.3,55.4,12.57,-53.7,-2605
03/04/21,12:34:43,64.3,55.4,12.571,-53.7,-2604
03/04/21,12:35:17,64.2,55.5,12.566,-52,-2603
03/04/21,12:35:45,64.2,55.6,12.565,-54.3,-2602
03/04/21,12:36:19,64.1,55.6,12.563,-54.9,-2601
03/04/21,12:36:52,64,55.6,12.562,-53.3,-2600
03/04/21,12:37:19,64,55.7,12.56,-53.8,-2599
03/04/21,12:37:57,64,55.7,12.559,-54.9,-2598
03/04/21,12:38:17,64,55.7,12.555,-55.3,-2597
03/04/21,12:38:47,63.9,55.8,12.555,-54.3,-2596
03/04/21,12:39:17,63.8,55.8,12.554,-53.4,-2595
03/04/21,12:39:48,63.8,55.9,12.553,-53.4,-2594
03/04/21,12:40:17,63.8,55.9,12.55,-54.3,-2593
03/04/21,12:40:53,63.7,55.9,12.551,-50.5,-2592
03/04/21,12:41:18,63.7,56,12.549,-52.9,-2591
03/04/21,12:41:55,63.7,56,12.544,-53.2,-2590
03/04/21,12:42:33,63.6,56.1,12.542,-51.9,-2589
03/04/21,12:42:59,63.6,56.1,12.542,-51.9,-2588
03/04/21,12:43:19,63.6,56.1,12.543,-53.6,-2587
03/04/21,12:43:56,63.5,56.1,12.54,-52.8,-2586
03/04/21,12:44:20,63.5,56.2,12.54,-52.1,-2585
03/04/21,12:44:59,63.4,56.2,12.537,-50.9,-2584
03/04/21,12:45:20,63.4,56.2,12.538,-52.8,-2583
03/04/21,12:45:51,63.3,56.3,12.537,-54.1,-2582
03/04/21,12:46:21,63.3,56.3,12.533,-52.8,-2581
03/04/21,12:46:52,63.3,56.3,12.534,-53.4,-2580
03/04/21,12:47:22,63.3,56.4,12.532,-53.7,-2579
03/04/21,12:47:52,63.2,56.4,12.529,-53.4,-2578
03/04/21,12:48:43,63.1,56.5,12.527,-49.5,-2577
03/04/21,12:48:55,63.1,56.5,12.531,-51.5,-2576
03/04/21,12:49:23,63.1,56.5,12.53,-53,-2575
03/04/21,12:49:53,63.1,56.5,12.526,-52.5,-2574
03/04/21,12:50:44,63,56.6,12.525,-52.2,-2573
03/04/21,12:50:53,63.1,56.5,12.525,-53.9,-2572
03/04/21,12:51:25,63,56.6,12.526,-53,-2571
03/04/21,12:51:58,63,56.6,12.524,-54,-2570
03/04/21,12:52:26,62.9,56.6,12.522,-52.2,-2569
03/04/21,12:52:56,62.9,56.7,12.522,-52.4,-2568
03/04/21,12:53:25,62.9,56.7,12.52,-52.8,-2567
03/04/21,12:53:57,62.9,56.7,12.521,-51.9,-2566
03/04/21,12:54:36,62.8,56.8,12.519,-52.3,-2565
03/04/21,12:54:55,62.8,56.8,12.519,-51.9,-2564
03/04/21,12:55:28,62.8,56.8,12.518,-51.9,-2563
03/04/21,12:55:57,62.8,56.8,12.519,-50.9,-2562
03/04/21,12:56:47,62.7,56.9,12.517,-50.9,-2561
03/04/21,12:56:57,62.7,56.9,12.516,-52.3,-2560
03/04/21,12:57:26,62.6,56.9,12.514,-50.5,-2559
03/04/21,12:57:57,62.6,56.9,12.515,-52,-2558
03/04/21,12:58:35,62.6,56.9,12.513,-51.1,-2557
03/04/21,12:58:57,62.5,57,12.514,-50.9,-2556
03/04/21,12:59:33,62.5,57,12.512,-50.5,-2555
03/04/21,12:59:59,62.5,57,12.512,-52.5,-2554
03/04/21,13:00:29,62.5,57,12.512,-51.9,-2553
03/04/21,13:01:03,62.4,57,12.507,-53.6,-2552
03/04/21,13:01:29,62.4,57,12.51,-51.5,-2551
03/04/21,13:01:59,62.4,57.1,12.509,-52.2,-2550
03/04/21,13:02:30,62.4,57.1,12.508,-52.3,-2549
03/04/21,13:03:01,62.3,57.1,12.507,-51,-2548
03/04/21,13:03:29,62.3,57.2,12.504,-50.1,-2547
03/04/21,13:04:00,62.3,57.2,12.506,-52.8,-2546
03/04/21,13:04:36,62.3,57.2,12.504,-51.2,-2545
03/04/21,13:05:08,62.2,57.3,12.504,-50.7,-2544
03/04/21,13:05:36,62.2,57.3,12.506,-51.6,-2543
03/04/21,13:06:01,62.2,57.3,12.506,-49.9,-2542
03/04/21,13:06:33,62.2,57.3,12.5,-50.8,-2541
03/04/21,13:07:01,62.1,57.3,12.499,-51.6,-2540
03/04/21,13:07:32,62.1,57.3,12.5,-51.4,-2539
03/04/21,13:08:03,62.1,57.3,12.501,-50.5,-2538
03/04/21,13:08:33,62.1,57.4,12.501,-50.3,-2537
03/04/21,13:09:26,62,57.4,12.499,-52.4,-2536
03/04/21,13:09:35,62,57.4,12.499,-50.9,-2535
03/04/21,13:10:03,62,57.4,12.502,-51.9,-2534
03/04/21,13:10:49,61.9,57.5,12.497,-51.8,-2533
03/04/21,13:11:04,62,57.5,12.496,-52.7,-2532
03/04/21,13:11:35,62,57.5,12.496,-50.9,-2531
03/04/21,13:12:05,61.9,57.6,12.497,-50.6,-2530
03/04/21,13:12:37,61.9,57.6,12.498,-51.4,-2529
03/04/21,13:13:13,61.9,57.6,12.497,-51.8,-2528
03/04/21,13:13:39,61.9,57.6,12.497,-49.9,-2527
03/04/21,13:14:27,61.8,57.6,12.494,-50.4,-2526
03/04/21,13:14:35,61.8,57.6,12.494,-50.5,-2525
03/04/21,13:15:15,61.8,57.6,12.495,-50,-2524
03/04/21,13:15:36,61.8,57.6,12.496,-51.4,-2523
03/04/21,13:16:07,61.8,57.6,12.494,-51.2,-2522
03/04/21,13:16:38,61.8,57.7,12.494,-51.4,-2521
03/04/21,13:17:10,61.8,57.7,12.491,-50.3,-2520
03/04/21,13:17:39,61.8,57.7,12.49,-51.7,-2519
03/04/21,13:18:09,61.7,57.7,12.49,-50.7,-2518
03/04/21,13:18:39,61.7,57.7,12.49,-51.6,-2517
03/04/21,13:19:09,61.7,57.8,12.49,-49.6,-2516
03/04/21,13:19:39,61.7,57.8,12.49,-48.5,-2515
03/04/21,13:20:10,61.7,57.8,12.489,-48.8,-2514
03/04/21,13:20:39,61.6,57.8,12.489,-49.5,-2513
03/04/21,13:21:13,61.6,57.8,12.49,-50.7,-2512
